Epoch: [0][660/2151], lr: 0.00100	Time 1.591 (0.766)	Data 1.221 (0.380)	Loss 5.0867 (5.1323)	Prec@1 0.000 (0.715)	Prec@5 5.000 (3.684)
Epoch: [0][680/2151], lr: 0.00100	Time 2.904 (0.765)	Data 2.536 (0.379)	Loss 5.0697 (5.1314)	Prec@1 5.000 (0.734)	Prec@5 10.000 (3.744)
Epoch: [0][700/2151], lr: 0.00100	Time 2.622 (0.765)	Data 2.239 (0.380)	Loss 5.0766 (5.1301)	Prec@1 2.500 (0.752)	Prec@5 10.000 (3.805)
Epoch: [0][720/2151], lr: 0.00100	Time 1.674 (0.764)	Data 1.306 (0.379)	Loss 5.0590 (5.1289)	Prec@1 2.500 (0.766)	Prec@5 5.000 (3.838)
Epoch: [0][740/2151], lr: 0.00100	Time 1.687 (0.765)	Data 1.328 (0.381)	Loss 5.0815 (5.1283)	Prec@1 0.000 (0.759)	Prec@5 2.500 (3.826)
Epoch: [0][760/2151], lr: 0.00100	Time 2.364 (0.764)	Data 1.985 (0.380)	Loss 5.1386 (5.1275)	Prec@1 2.500 (0.765)	Prec@5 2.500 (3.834)
Epoch: [0][780/2151], lr: 0.00100	Time 1.521 (0.765)	Data 1.159 (0.383)	Loss 5.0341 (5.1270)	Prec@1 0.000 (0.784)	Prec@5 5.000 (3.854)
Epoch: [0][800/2151], lr: 0.00100	Time 2.383 (0.766)	Data 2.012 (0.384)	Loss 5.1311 (5.1266)	Prec@1 2.500 (0.777)	Prec@5 7.500 (3.873)
Epoch: [0][820/2151], lr: 0.00100	Time 1.049 (0.767)	Data 0.693 (0.384)	Loss 5.0524 (5.1257)	Prec@1 0.000 (0.783)	Prec@5 2.500 (3.873)
Epoch: [0][840/2151], lr: 0.00100	Time 1.744 (0.767)	Data 1.380 (0.384)	Loss 5.1170 (5.1251)	Prec@1 2.500 (0.785)	Prec@5 5.000 (3.894)
Epoch: [0][860/2151], lr: 0.00100	Time 1.620 (0.769)	Data 1.263 (0.386)	Loss 5.1183 (5.1245)	Prec@1 0.000 (0.781)	Prec@5 7.500 (3.917)
Epoch: [0][880/2151], lr: 0.00100	Time 1.860 (0.767)	Data 1.498 (0.385)	Loss 5.0878 (5.1236)	Prec@1 0.000 (0.789)	Prec@5 0.000 (3.936)
Epoch: [0][900/2151], lr: 0.00100	Time 3.074 (0.769)	Data 2.689 (0.386)	Loss 5.1028 (5.1230)	Prec@1 0.000 (0.785)	Prec@5 5.000 (3.943)
Epoch: [0][920/2151], lr: 0.00100	Time 1.932 (0.768)	Data 1.571 (0.385)	Loss 4.9985 (5.1222)	Prec@1 7.500 (0.793)	Prec@5 10.000 (3.955)
Epoch: [0][940/2151], lr: 0.00100	Time 1.899 (0.766)	Data 1.536 (0.384)	Loss 5.1530 (5.1215)	Prec@1 0.000 (0.800)	Prec@5 0.000 (3.977)
Epoch: [0][960/2151], lr: 0.00100	Time 1.428 (0.766)	Data 1.064 (0.383)	Loss 5.1207 (5.1206)	Prec@1 0.000 (0.804)	Prec@5 5.000 (3.991)
Epoch: [0][980/2151], lr: 0.00100	Time 1.117 (0.767)	Data 0.758 (0.384)	Loss 5.1026 (5.1198)	Prec@1 0.000 (0.818)	Prec@5 5.000 (3.993)
Epoch: [0][1000/2151], lr: 0.00100	Time 0.971 (0.768)	Data 0.602 (0.384)	Loss 5.0649 (5.1196)	Prec@1 0.000 (0.814)	Prec@5 5.000 (3.986)
Epoch: [0][1020/2151], lr: 0.00100	Time 1.155 (0.767)	Data 0.791 (0.384)	Loss 5.0853 (5.1188)	Prec@1 2.500 (0.813)	Prec@5 5.000 (4.021)
Epoch: [0][1040/2151], lr: 0.00100	Time 1.049 (0.768)	Data 0.679 (0.385)	Loss 5.0975 (5.1181)	Prec@1 5.000 (0.807)	Prec@5 10.000 (4.032)
Epoch: [0][1060/2151], lr: 0.00100	Time 0.359 (0.766)	Data 0.000 (0.384)	Loss 5.0597 (5.1174)	Prec@1 5.000 (0.820)	Prec@5 5.000 (4.041)
Epoch: [0][1080/2151], lr: 0.00100	Time 0.354 (0.766)	Data 0.000 (0.383)	Loss 5.0979 (5.1168)	Prec@1 0.000 (0.830)	Prec@5 5.000 (4.070)
Epoch: [0][1100/2151], lr: 0.00100	Time 0.358 (0.769)	Data 0.000 (0.386)	Loss 5.0961 (5.1162)	Prec@1 0.000 (0.836)	Prec@5 2.500 (4.074)
Epoch: [0][1120/2151], lr: 0.00100	Time 0.357 (0.769)	Data 0.000 (0.385)	Loss 5.0805 (5.1154)	Prec@1 0.000 (0.841)	Prec@5 2.500 (4.079)
Epoch: [0][1140/2151], lr: 0.00100	Time 1.750 (0.770)	Data 1.396 (0.386)	Loss 5.1675 (5.1152)	Prec@1 2.500 (0.844)	Prec@5 5.000 (4.082)
Epoch: [0][1160/2151], lr: 0.00100	Time 2.387 (0.771)	Data 2.013 (0.387)	Loss 5.0748 (5.1143)	Prec@1 0.000 (0.835)	Prec@5 2.500 (4.076)
Epoch: [0][1180/2151], lr: 0.00100	Time 1.558 (0.770)	Data 1.194 (0.386)	Loss 5.0935 (5.1136)	Prec@1 0.000 (0.840)	Prec@5 0.000 (4.092)
Epoch: [0][1200/2151], lr: 0.00100	Time 1.634 (0.770)	Data 1.273 (0.386)	Loss 5.0009 (5.1128)	Prec@1 0.000 (0.833)	Prec@5 10.000 (4.097)
Epoch: [0][1220/2151], lr: 0.00100	Time 2.246 (0.771)	Data 1.864 (0.387)	Loss 5.0374 (5.1122)	Prec@1 0.000 (0.837)	Prec@5 7.500 (4.109)
Epoch: [0][1240/2151], lr: 0.00100	Time 2.848 (0.771)	Data 2.478 (0.387)	Loss 5.0923 (5.1117)	Prec@1 0.000 (0.848)	Prec@5 2.500 (4.126)
Epoch: [0][1260/2151], lr: 0.00100	Time 1.307 (0.771)	Data 0.946 (0.388)	Loss 5.0081 (5.1109)	Prec@1 5.000 (0.854)	Prec@5 5.000 (4.144)
Epoch: [0][1280/2151], lr: 0.00100	Time 1.497 (0.771)	Data 1.137 (0.387)	Loss 5.0102 (5.1100)	Prec@1 5.000 (0.872)	Prec@5 5.000 (4.171)
Epoch: [0][1300/2151], lr: 0.00100	Time 1.782 (0.771)	Data 1.414 (0.388)	Loss 5.0404 (5.1092)	Prec@1 2.500 (0.870)	Prec@5 7.500 (4.195)
Epoch: [0][1320/2151], lr: 0.00100	Time 1.450 (0.770)	Data 1.086 (0.387)	Loss 5.0761 (5.1084)	Prec@1 5.000 (0.884)	Prec@5 10.000 (4.211)
Epoch: [0][1340/2151], lr: 0.00100	Time 0.684 (0.771)	Data 0.321 (0.387)	Loss 5.0146 (5.1075)	Prec@1 0.000 (0.893)	Prec@5 2.500 (4.243)
Epoch: [0][1360/2151], lr: 0.00100	Time 0.386 (0.770)	Data 0.000 (0.387)	Loss 5.1056 (5.1068)	Prec@1 0.000 (0.898)	Prec@5 10.000 (4.269)
Epoch: [0][1380/2151], lr: 0.00100	Time 0.360 (0.771)	Data 0.000 (0.387)	Loss 5.0038 (5.1061)	Prec@1 0.000 (0.900)	Prec@5 2.500 (4.285)
